Threads, Total_time, Iteration_time, Calculation_time
1,1545.979677,949.598145,596.381531
2,671.336322,421.512419,249.823903
3,459.758522,289.573765,170.184757
4,350.041945,220.991744,129.050201
5,284.088719,179.427871,104.660848
6,240.272955,151.898404,88.374551
7,209.045804,132.538260,76.507544
8,188.597940,120.077870,68.520070
9,177.247269,113.195268,64.052001
10,168.023059,109.872774,58.150285
11,159.604234,106.062415,53.541819
12,152.811052,103.369398,49.441654
13,150.409105,101.855385,48.553720
14,146.301791,100.990304,45.311487
15,143.020641,100.549327,42.471314
16,140.751674,100.739087,40.012587
