Threads, Total time, Iteration time, Calculation time
1,1217.624747,747.345183,470.279564
2,641.937113,399.266812,242.670301
3,442.936486,275.083333,167.853153
4,339.788006,211.632944,128.155062
5,276.309930,171.953573,104.356358
6,233.895282,146.634560,87.260722
7,204.532469,129.058858,75.473611
8,186.792502,118.626586,68.165916
9,174.884702,111.713336,63.171366
10,164.146195,107.151540,56.994655
11,156.103916,103.946944,52.156971
12,151.490592,102.125690,49.364902
13,147.958949,100.005358,47.953591
14,143.513119,98.887134,44.625985
15,140.027579,98.309320,41.718259
16,137.833572,98.451276,39.382296
