Threads, Total time, Iteration time, Calculation time
1,331.076750,203.538163,127.538587
2,172.546545,105.991421,66.555125
3,117.409579,72.526187,44.883392
4,89.791376,55.408966,34.382410
5,71.930386,44.569655,27.360731
6,60.554115,37.625648,22.928467
7,52.622632,32.802805,19.819827
8,48.397468,30.038089,18.359380
9,44.110377,27.636179,16.474198
10,41.414603,26.379294,15.035309
11,39.418460,25.626630,13.791831
12,38.043274,25.194585,12.848689
13,36.659936,24.708470,11.951466
14,35.864631,24.740348,11.124283
15,35.229348,24.775877,10.453471
16,34.759989,24.885608,9.874381
