Threads, Total time, Iteration time, Calculation time
1,22.493456,13.471357,9.022099
2,12.289745,7.645886,4.643858
3,9.110734,5.924866,3.185868
4,7.120125,4.688549,2.431576
5,6.967235,4.979127,1.988107
6,6.318482,4.642485,1.675997
7,4.697644,3.232548,1.465096
8,4.668441,3.331609,1.336832
9,4.513347,3.245818,1.267529
10,5.062447,3.891335,1.171112
11,4.223082,3.123235,1.099847
12,4.088335,3.012538,1.075797
13,4.141631,3.076903,1.064728
14,3.295630,2.275588,1.020042
15,4.011512,3.027520,0.983992
16,3.800607,2.848188,0.952419
