Threads, Total time, Iteration time, Calculation time
1,1.527478,1.345266,0.182212
2,0.941407,0.836295,0.105112
3,1.175435,0.686416,0.489019
4,1.160593,0.562221,0.598372
5,0.674949,0.589337,0.085612
6,1.148039,0.569719,0.578320
7,0.598825,0.429119,0.169706
8,0.862082,0.448618,0.413464
9,0.605953,0.441369,0.164584
10,0.597829,0.503021,0.094808
11,0.453289,0.427578,0.025711
12,0.447639,0.423104,0.024535
13,0.476936,0.434196,0.042740
14,0.443275,0.347227,0.096048
15,0.497607,0.416830,0.080777
16,0.515547,0.394220,0.121327
