Total threads,DataGen Threads,Analyze threads,DataGen time,DataGen idle time,Transfer time,Transfer idle time,DRAM-NVM time,Analyze time,TestTime
16,15,1,247.667806,222.320832,247.707926,0.007226,40.184731,207.502157,247.708092
16,14,2,138.728458,112.503991,138.750353,0.017927,20.660509,118.049679,138.750524
16,13,3,98.852095,72.156882,98.867504,0.007181,17.308555,81.538674,98.867631
16,12,4,75.214340,47.623408,75.226733,0.007405,13.086462,62.124896,75.226855
16,11,5,60.828368,32.403759,60.844051,0.012306,10.626771,50.198433,60.844179
16,10,6,51.264993,20.982130,51.274735,0.009341,9.205341,42.052014,51.274862
16,9,7,45.281444,13.856407,45.290220,0.038550,8.205961,37.036302,45.290347
16,8,8,40.788013,6.613906,40.796206,0.079558,7.551966,33.153472,40.796330
16,7,9,40.788430,0.685381,40.797541,4.371181,7.028130,29.386419,40.797666
16,6,10,43.712410,0.020202,43.720308,12.044065,6.087404,25.576156,43.720430
16,5,11,50.032420,0.019870,50.039708,20.814946,5.648782,23.562743,50.039832
16,4,12,61.022807,0.018068,61.029789,34.997627,4.988546,21.030116,61.029914
16,3,13,78.700755,0.015246,78.707952,55.421052,4.469557,18.802580,78.708078
16,2,14,113.371180,0.008394,113.379419,90.803702,4.763558,17.796855,113.379546
16,1,15,207.542432,0.001019,207.553996,186.932162,4.377247,16.228509,207.554120
