Total threads,DataGen Threads,Analyze threads,DataGen time,DataGen idle time,Transfer time,Transfer idle time,DRAM-NVM time,Analyze time,TestTime
16,15,1,910.322742,887.778599,910.479702,0.015502,150.438198,760.003573,910.479902
16,14,2,477.153099,453.402977,477.234911,0.011500,77.571983,399.625713,477.235097
16,13,3,328.517129,303.166396,328.582433,0.014398,52.518878,276.021192,328.582626
16,12,4,253.104214,226.739043,253.154382,0.025448,39.805491,213.295498,253.154572
16,11,5,214.200748,190.434759,214.240840,0.013194,32.700696,181.498827,214.240977
16,10,6,181.702313,160.798765,181.736885,0.014024,27.439718,154.253921,181.737069
16,9,7,158.490148,137.114759,158.523000,0.015598,25.219570,133.248692,158.523146
16,8,8,140.355532,117.391359,140.386000,0.013754,23.608252,116.730536,140.386142
16,7,9,125.382355,101.304840,125.420682,0.021808,21.220567,104.147899,125.420821
16,6,10,118.811694,93.443736,118.841164,0.018321,23.411067,95.384337,118.841310
16,5,11,106.767778,77.009421,106.798301,0.021255,19.487975,87.265771,106.798454
16,4,12,98.510628,61.763369,98.542690,0.025835,18.440874,80.055186,98.542826
16,3,13,93.015108,44.400377,93.048141,0.054101,18.012642,74.959147,93.048292
16,2,14,88.969019,15.996326,89.009746,0.047129,18.389588,70.550889,89.009889
16,1,15,141.693037,0.169956,141.740244,59.456794,19.169702,63.097921,141.740389
