DataGen,Analyze,DataGen,DataGen,DRAM-NVM,Analyze,Transfer,Total
Threads,threads,time,idle time,time,time,idle time,Time
15,1,102.35,849.87,166.02,786.30,0.03,952.37
14,2,105.89,402.37,84.74,423.54,0.04,508.35
13,3,112.69,274.05,70.52,316.22,0.03,386.80
12,4,117.66,181.92,51.48,248.09,0.01,299.63
11,5,123.18,126.36,43.15,206.36,0.03,249.58
10,6,130.29,90.92,44.56,176.63,0.03,221.25
9,7,136.33,51.77,34.79,153.22,0.10,188.13
8,8,147.03,18.63,31.22,134.42,0.03,165.69
7,9,169.39,3.78,36.38,120.80,16.01,173.20
6,10,182.96,0.02,28.85,102.81,51.34,183.01
5,11,206.64,0.00,26.39,90.11,90.16,206.67
4,12,246.10,0.31,28.67,90.41,127.23,246.46
3,13,303.90,0.00,22.83,75.71,205.38,303.93
2,14,430.30,0.00,21.71,69.86,338.74,430.34
1,15,804.03,0.00,20.60,65.07,718.38,804.08
